Time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
54,level2,level1,level1,level1,level2,level1,level1,level2,level1,level2
55,level2,level1,level1,level2,level2,level1,level1,level2,level1,level2
56,level2,level1,level1,level2,level2,level1,level2,level2,level1,level2
57,level2,level1,level1,level2,level2,level1,level2,level2,level1,level2
58,level2,level1,level1,level2,level2,level1,level2,level2,level1,level2
59,level2,level1,level1,level2,level2,level1,level2,level2,level1,level1
60,level2,level1,level1,level2,level2,level1,level2,level2,level1,level1
61,level2,level1,level1,level2,level2,level1,level2,level2,level1,level1
62,level2,level1,level1,level2,level2,level1,level2,level1,level1,level1
63,level2,level1,level1,level2,level2,level1,level2,level1,level1,level1
64,level2,level1,level1,level2,level2,level1,level2,level1,level1,level1
65,level2,level1,level1,level2,level2,level1,level2,level1,level1,level1
66,level2,level1,level1,level2,level2,level1,level2,level1,level1,level1
67,level2,level1,level1,level2,level2,level2,level2,level1,level1,level1
68,level2,level1,level2,level2,level2,level2,level2,level1,level1,level1
69,level2,level1,level2,level2,level2,level2,level2,level1,level1,level1
70,level2,level1,level2,level2,level2,level2,level2,level1,level1,level1
71,level2,level2,level2,level2,level2,level2,level2,level1,level1,level1
72,level2,level2,level2,level2,level2,level2,level2,level1,level2,level1
73,level2,level2,level2,level2,level2,level2,level2,level1,level2,level1
74,level2,level2,level2,level2,level2,level2,level2,level1,level2,level1
75,level2,level2,level1,level2,level2,level2,level2,level1,level2,level1
76,level2,level2,level1,level2,level2,level2,level2,level1,level2,level1
77,level2,level2,level1,level2,level2,level2,level2,level1,level2,level1
78,level2,level2,level1,level2,level2,level2,level2,level1,level2,level1
79,level2,level2,level1,level2,level2,level2,level2,level1,level2,level1
80,level2,level2,level1,level2,level2,level2,level2,level1,level1,level1
81,level2,level2,level1,level2,level2,level2,level2,level1,level1,level1
82,level2,level2,level1,level2,level2,level2,level2,level1,level1,level1
83,level2,level2,level2,level2,level2,level2,level2,level1,level1,level1
84,level2,level2,level2,level2,level2,level2,level2,level2,level1,level1
85,level2,level2,level2,level2,level2,level2,level1,level2,level1,level1
86,level2,level2,level2,level2,level2,level2,level1,level2,level1,level2
87,level2,level2,level2,level2,level2,level2,level1,level2,level1,level2
88,level2,level2,level2,level1,level2,level2,level1,level2,level1,level2
89,level2,level2,level2,level1,level2,level1,level1,level2,level1,level2
90,level2,level2,level2,level1,level2,level1,level1,level2,level1,level2
91,level2,level2,level2,level1,level2,level1,level1,level2,level1,level2
92,level2,level2,level2,level1,level2,level1,level1,level2,level1,level2
93,level2,level2,level2,level1,level2,level1,level1,level2,level1,level2
94,level2,level2,level2,level1,level2,level1,level1,level2,level1,level2
95,level2,level2,level2,level1,level1,level2,level1,level2,level1,level2
96,level2,level2,level1,level1,level1,level2,level1,level2,level1,level2
97,level2,level2,level1,level1,level1,level2,level1,level2,level1,level2
98,level2,level2,level1,level1,level1,level2,level1,level2,level1,level2
99,level2,level2,level1,level1,level1,level2,level1,level2,level1,level2
100,level2,level2,level1,level1,level1,level2,level1,level2,level1,level2
101,level2,level2,level1,level1,level1,level2,level1,level2,level1,level2
102,level2,level2,level1,level1,level1,level2,level1,level2,level1,level2
103,level2,level2,level1,level1,level1,level2,level1,level2,level1,level2
104,level2,level2,level1,level1,level1,level2,level1,level2,level1,level2
105,level2,level2,level1,level1,level1,level2,level1,level2,level1,level2
106,level2,level2,level1,level1,level2,level2,level1,level2,level1,level2
107,level2,level2,level1,level1,level2,level2,level1,level2,level1,level2
108,level2,level2,level1,level1,level2,level2,level1,level2,level1,level2
109,level2,level2,level1,level1,level2,level2,level1,level2,level1,level2
110,level2,level2,level1,level1,level2,level2,level1,level2,level1,level2
111,level2,level2,level1,level1,level2,level2,level1,level2,level1,level2
112,level2,level2,level1,level1,level2,level2,level1,level2,level1,level2
113,level2,level2,level1,level2,level2,level2,level1,level2,level1,level1
114,level2,level2,level1,level2,level2,level2,level1,level2,level1,level1
115,level2,level2,level2,level2,level2,level2,level1,level2,level1,level1
116,level2,level2,level2,level2,level2,level2,level1,level2,level1,level1
117,level2,level2,level2,level2,level2,level2,level1,level2,level1,level1
118,level2,level2,level2,level2,level2,level2,level1,level2,level1,level1
119,level2,level2,level2,level2,level2,level2,level1,level2,level1,level1
120,level2,level2,level1,level2,level2,level2,level1,level2,level1,level1
121,level2,level2,level1,level2,level2,level2,level1,level2,level1,level1
122,level2,level2,level1,level2,level2,level2,level2,level2,level1,level1
123,level2,level2,level1,level2,level2,level2,level2,level2,level1,level1
124,level2,level2,level1,level2,level2,level2,level2,level2,level1,level1
125,level2,level2,level1,level2,level2,level2,level2,level2,level1,level1
126,level2,level2,level1,level1,level2,level2,level2,level2,level1,level1
127,level2,level2,level1,level1,level2,level2,level2,level2,level1,level1
128,level2,level2,level1,level1,level1,level2,level2,level2,level1,level1
129,level2,level2,level1,level1,level1,level2,level2,level2,level1,level1
130,level2,level2,level1,level1,level1,level2,level2,level2,level1,level1
131,level2,level2,level1,level1,level1,level2,level2,level2,level1,level1
132,level2,level2,level1,level1,level1,level2,level2,level2,level1,level1
133,level2,level2,level1,level1,level1,level2,level2,level1,level1,level1
134,level2,level2,level1,level1,level1,level2,level2,level1,level1,level1
135,level1,level2,level1,level1,level1,level2,level2,level1,level1,level2
136,level1,level2,level1,level1,level1,level2,level2,level1,level1,level2
137,level1,level2,level1,level1,level1,level2,level2,level1,level1,level2
138,level1,level2,level1,level1,level1,level2,level2,level1,level1,level2
139,level1,level2,level1,level1,level1,level2,level2,level1,level2,level2
