area A	area B	AG0/AG0	AG0/AG1	AG0/AG2	AG1/AG0	AG1/AG1	AG1/AG2	AG2/AG0	AG2/AG1	AG2/AG2
37	37	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
38	38	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
39	39	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
40	40	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
41	41	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
42	42	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
43	43	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
44	44	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
45	45	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
46	46	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
47	47	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
48	48	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
49	49	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
50	50	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
51	51	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
52	52	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
53	53	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
54	54	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
55	55	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
56	56	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
57	57	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
58	58	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
59	59	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
60	60	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
61	61	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
62	62	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
63	63	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
64	64	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
65	65	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
66	66	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
67	67	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
68	68	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
69	69	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
70	70	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
71	71	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
72	72	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
73	73	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
74	74	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
75	75	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
76	76	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
77	77	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
78	78	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
79	79	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
80	80	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
81	81	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
82	82	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
83	83	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
84	84	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
85	85	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
86	86	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
87	87	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
88	88	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
89	89	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
90	90	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
91	91	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
92	92	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
93	93	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
94	94	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
95	95	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
96	96	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
97	97	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
98	98	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
99	99	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
