area	x	y	region	density	0-18	19-65	65+	Male	Female
S02001270	-93.7892	3943.67	S08000020	1	2000	4000	2000	50	50
S02001271	-94.4254	3943.69	S08000020	1	2000	4000	2000	50	50
S02001272	-93.3778	3944.17	S08000020	1	2000	4000	2000	50	50
S02001273	-93.9856	3944.42	S08000020	1	2000	4000	2000	50	50
S02001274	-93.5344	3944.74	S08000020	1	2000	4000	2000	50	50
S02001275	-96.4932	3944.31	S08000020	1	2000	4000	2000	50	50
S02001276	-94.452	3945.15	S08000020	1	2000	4000	2000	50	50
S02001277	-95.1103	3946.2	S08000020	1	2000	4000	2000	50	50
S02001278	-95.288	3947.28	S08000020	1	2000	4000	2000	50	50
S02001279	-92.734	3945.48	S08000020	1	2000	4000	2000	50	50
S02001280	-92.6036	3946.3	S08000020	1	2000	4000	2000	50	50
S02001281	-91.9314	3946.09	S08000020	1	2000	4000	2000	50	50
S02001282	-91.529	3945.51	S08000020	1	2000	4000	2000	50	50
S02001283	-90.9499	3945.66	S08000020	1	2000	4000	2000	50	50
S02001284	-91.1008	3946.74	S08000020	1	2000	4000	2000	50	50
S02001285	-135.992	3938.13	S08000020	1	2000	4000	2000	50	50
S02001286	-117.448	3936.75	S08000020	1	2000	4000	2000	50	50
S02001287	-108.263	3921.84	S08000020	1	2000	4000	2000	50	50
S02001288	-107.695	3918.93	S08000020	1	2000	4000	2000	50	50
S02001289	-102.547	3923.88	S08000020	1	2000	4000	2000	50	50
S02001290	-97.3563	3931.78	S08000020	1	2000	4000	2000	50	50
S02001291	-96.3666	3930.43	S08000020	1	2000	4000	2000	50	50
S02001292	-96.2495	3930.74	S08000020	1	2000	4000	2000	50	50
S02001293	-93.3824	3935.27	S08000020	1	2000	4000	2000	50	50
S02001294	-92.8874	3936.98	S08000020	1	2000	4000	2000	50	50
S02001295	-92.6349	3938.17	S08000020	1	2000	4000	2000	50	50
S02001296	-103.523	3940.07	S08000020	1	2000	4000	2000	50	50
S02001297	-107.861	3936.92	S08000020	1	2000	4000	2000	50	50
S02001298	-108.663	3936.7	S08000020	1	2000	4000	2000	50	50
S02001299	-111.454	3939.33	S08000020	1	2000	4000	2000	50	50
S02001300	-123.02	3945.07	S08000020	1	2000	4000	2000	50	50
S02001301	-114.134	3949.12	S08000020	1	2000	4000	2000	50	50
S02001302	-106.203	3949.32	S08000020	1	2000	4000	2000	50	50
S02001303	-103.908	3952.95	S08000020	1	2000	4000	2000	50	50
S02001304	-103.217	3952.45	S08000020	1	2000	4000	2000	50	50
S02001305	-105.774	3953.66	S08000020	1	2000	4000	2000	50	50
S02001306	-102.071	3949.39	S08000020	1	2000	4000	2000	50	50
S02001307	-99.697	3947.13	S08000020	1	2000	4000	2000	50	50
S02001308	-99.9082	3943.81	S08000020	1	2000	4000	2000	50	50
S02001309	-99.2503	3943.62	S08000020	1	2000	4000	2000	50	50
S02001310	-99.7123	3943.4	S08000020	1	2000	4000	2000	50	50
S02001311	-95.7203	3950.87	S08000020	1	2000	4000	2000	50	50
S02001312	-91.2323	3950	S08000020	1	2000	4000	2000	50	50
S02001313	-90.0807	3958.21	S08000020	1	2000	4000	2000	50	50
S02001314	-90.7182	3958.53	S08000020	1	2000	4000	2000	50	50
S02001315	-87.8947	3958.7	S08000020	1	2000	4000	2000	50	50
S02001316	-95.596	3957.55	S08000020	1	2000	4000	2000	50	50
S02001317	-101.425	3956.35	S08000020	1	2000	4000	2000	50	50
S02001318	-103.228	3962.26	S08000020	1	2000	4000	2000	50	50
S02001319	-112.604	3958.83	S08000020	1	2000	4000	2000	50	50
S02001320	-120.925	3960.58	S08000020	1	2000	4000	2000	50	50
S02001321	-121.03	3963.83	S08000020	1	2000	4000	2000	50	50
S02001322	-109.547	3968.87	S08000020	1	2000	4000	2000	50	50
S02001323	-106.857	3970.2	S08000020	1	2000	4000	2000	50	50
S02001324	-117.64	3977.34	S08000020	1	2000	4000	2000	50	50
S02001325	-113.243	3974.33	S08000020	1	2000	4000	2000	50	50
S02001326	-109.758	3978.88	S08000020	1	2000	4000	2000	50	50
S02001327	-108.263	3979.12	S08000020	1	2000	4000	2000	50	50
S02001328	-103.954	3975.5	S08000020	1	2000	4000	2000	50	50
S02001329	-97.3908	3973.68	S08000020	1	2000	4000	2000	50	50
S02001330	-92.1374	3970.55	S08000020	1	2000	4000	2000	50	50
S02001331	-87.0989	3969.09	S08000020	1	2000	4000	2000	50	50
S02001332	-91.9597	3965.66	S08000020	1	2000	4000	2000	50	50
S02001333	-80.9798	3962.99	S08000020	1	2000	4000	2000	50	50
S02001334	-78.2799	3967.25	S08000020	1	2000	4000	2000	50	50
S02001335	-78.0777	3967.77	S08000020	1	2000	4000	2000	50	50
S02001336	-77.4763	3968.03	S08000020	1	2000	4000	2000	50	50
S02001337	-78.5652	3968.27	S08000020	1	2000	4000	2000	50	50
S02001338	-82.5232	3970.49	S08000020	1	2000	4000	2000	50	50
S02001339	-88.1665	3978.97	S08000020	1	2000	4000	2000	50	50
S02001340	-87.5239	3980.06	S08000020	1	2000	4000	2000	50	50
S02001341	-88.059	3980.32	S08000020	1	2000	4000	2000	50	50
S02001342	-87.454	3980.54	S08000020	1	2000	4000	2000	50	50
S02001343	-87.3632	3980.83	S08000020	1	2000	4000	2000	50	50
S02001344	-132.528	3898.86	S08000030	1	2000	4000	2000	50	50
S02001345	-122.114	3899.25	S08000030	1	2000	4000	2000	50	50
S02001346	-123.074	3897.09	S08000030	1	2000	4000	2000	50	50
S02001347	-122.428	3897.43	S08000030	1	2000	4000	2000	50	50
S02001348	-118.548	3898.45	S08000030	1	2000	4000	2000	50	50
S02001349	-117.703	3898.75	S08000030	1	2000	4000	2000	50	50
S02001350	-114.605	3903.94	S08000030	1	2000	4000	2000	50	50
S02001351	-113.373	3902.88	S08000030	1	2000	4000	2000	50	50
S02001352	-112.872	3902.63	S08000030	1	2000	4000	2000	50	50
S02001353	-112.197	3902.6	S08000030	1	2000	4000	2000	50	50
S02001354	-111.625	3903.14	S08000030	1	2000	4000	2000	50	50
S02001355	-112.316	3903.27	S08000030	1	2000	4000	2000	50	50
S02001356	-108.527	3910.47	S08000030	1	2000	4000	2000	50	50
S02001357	-107.084	3913.03	S08000030	1	2000	4000	2000	50	50
S02001358	-107.171	3913.79	S08000030	1	2000	4000	2000	50	50
S02001359	-108.453	3915.31	S08000030	1	2000	4000	2000	50	50
S02001360	-116.15	3911.23	S08000030	1	2000	4000	2000	50	50
S02001361	-115.04	3914.32	S08000030	1	2000	4000	2000	50	50
S02001362	-115.612	3914.66	S08000030	1	2000	4000	2000	50	50
S02001363	-124.17	3907.03	S08000030	1	2000	4000	2000	50	50
S02001364	-125.202	3908.82	S08000030	1	2000	4000	2000	50	50
S02001365	-125.362	3908.4	S08000030	1	2000	4000	2000	50	50
S02001366	-126.003	3908.01	S08000030	1	2000	4000	2000	50	50
S02001367	-133.013	3907.78	S08000030	1	2000	4000	2000	50	50
S02001368	-130.547	3910.57	S08000030	1	2000	4000	2000	50	50
S02001369	-127.093	3915.59	S08000030	1	2000	4000	2000	50	50
S02001370	-271.919	3898.73	S08000022	1	2000	4000	2000	50	50
S02001371	-237.719	3892.12	S08000022	1	2000	4000	2000	50	50
S02001372	-237.66	3892.81	S08000022	1	2000	4000	2000	50	50
S02001373	-233.327	3895.65	S08000022	1	2000	4000	2000	50	50
S02001374	-230.26	3886.85	S08000022	1	2000	4000	2000	50	50
S02001375	-230.305	3874.54	S08000022	1	2000	4000	2000	50	50
S02001376	-235.974	3866.1	S08000022	1	2000	4000	2000	50	50
S02001377	-237.964	3856.63	S08000022	1	2000	4000	2000	50	50
S02001378	-270.568	3846.79	S08000022	1	2000	4000	2000	50	50
S02001379	-244.078	3828.45	S08000022	1	2000	4000	2000	50	50
S02001380	-243.502	3824.34	S08000022	1	2000	4000	2000	50	50
S02001381	-219.669	3852.41	S08000022	1	2000	4000	2000	50	50
S02001382	-219.613	3852.68	S08000022	1	2000	4000	2000	50	50
S02001383	-222.014	3857.87	S08000022	1	2000	4000	2000	50	50
S02001384	-212.213	3873.17	S08000022	1	2000	4000	2000	50	50
S02001385	-213.921	3861.68	S08000022	1	2000	4000	2000	50	50
S02001386	-214.092	3860.54	S08000022	1	2000	4000	2000	50	50
S02001387	-209.673	3866.51	S08000022	1	2000	4000	2000	50	50
S02001388	-206.883	3865.03	S08000022	1	2000	4000	2000	50	50
S02001389	-205.238	3864.73	S08000022	1	2000	4000	2000	50	50
S02001390	-205.606	3864.32	S08000022	1	2000	4000	2000	50	50
S02001391	-204.703	3864.02	S08000022	1	2000	4000	2000	50	50
S02001392	-202.249	3863.27	S08000022	1	2000	4000	2000	50	50
S02001393	-166.753	3873.04	S08000019	1	2000	4000	2000	50	50
S02001394	-166.463	3873.52	S08000019	1	2000	4000	2000	50	50
S02001395	-167.307	3874.35	S08000019	1	2000	4000	2000	50	50
S02001396	-165.122	3874.54	S08000019	1	2000	4000	2000	50	50
S02001397	-162.795	3873.9	S08000019	1	2000	4000	2000	50	50
S02001398	-162.489	3874.63	S08000019	1	2000	4000	2000	50	50
S02001399	-158.994	3875.56	S08000019	1	2000	4000	2000	50	50
S02001400	-162.642	3871.41	S08000019	1	2000	4000	2000	50	50
S02001401	-164.12	3872.81	S08000019	1	2000	4000	2000	50	50
S02001402	-164.65	3871.84	S08000019	1	2000	4000	2000	50	50
S02001403	-165.118	3872.5	S08000019	1	2000	4000	2000	50	50
S02001404	-165.245	3872.07	S08000019	1	2000	4000	2000	50	50
S02001405	-218.852	3788.54	S08000017	1	2000	4000	2000	50	50
S02001406	-218.081	3788.38	S08000017	1	2000	4000	2000	50	50
S02001407	-218.337	3787.88	S08000017	1	2000	4000	2000	50	50
S02001408	-219.8	3788.26	S08000017	1	2000	4000	2000	50	50
S02001409	-215.245	3778.96	S08000017	1	2000	4000	2000	50	50
S02001410	-204.41	3788.52	S08000017	1	2000	4000	2000	50	50
S02001411	-193.774	3780.64	S08000017	1	2000	4000	2000	50	50
S02001412	-193.517	3791.57	S08000017	1	2000	4000	2000	50	50
S02001413	-179.584	3786.82	S08000017	1	2000	4000	2000	50	50
S02001414	-174.138	3784.97	S08000017	1	2000	4000	2000	50	50
S02001415	-170.041	3790.72	S08000017	1	2000	4000	2000	50	50
S02001416	-165.995	3790.26	S08000017	1	2000	4000	2000	50	50
S02001417	-164.166	3791.75	S08000017	1	2000	4000	2000	50	50
S02001418	-174.913	3799.2	S08000017	1	2000	4000	2000	50	50
S02001419	-171.016	3821.1	S08000017	1	2000	4000	2000	50	50
S02001420	-165.529	3811.66	S08000017	1	2000	4000	2000	50	50
S02001421	-159.044	3805.83	S08000017	1	2000	4000	2000	50	50
S02001422	-159.579	3800.75	S08000017	1	2000	4000	2000	50	50
S02001423	-157.914	3800.73	S08000017	1	2000	4000	2000	50	50
S02001424	-157.395	3799.99	S08000017	1	2000	4000	2000	50	50
S02001425	-157.055	3799.31	S08000017	1	2000	4000	2000	50	50
S02001426	-157.724	3795.69	S08000017	1	2000	4000	2000	50	50
S02001427	-154.929	3797.57	S08000017	1	2000	4000	2000	50	50
S02001428	-155.538	3799.13	S08000017	1	2000	4000	2000	50	50
S02001429	-155.451	3799.49	S08000017	1	2000	4000	2000	50	50
S02001430	-156.682	3799.75	S08000017	1	2000	4000	2000	50	50
S02001431	-156.32	3800.07	S08000017	1	2000	4000	2000	50	50
S02001432	-155.526	3802.13	S08000017	1	2000	4000	2000	50	50
S02001433	-155.465	3801.5	S08000017	1	2000	4000	2000	50	50
S02001434	-154.222	3799.95	S08000017	1	2000	4000	2000	50	50
S02001435	-149.272	3803.86	S08000017	1	2000	4000	2000	50	50
S02001436	-146.176	3804.46	S08000017	1	2000	4000	2000	50	50
S02001437	-149.335	3817.06	S08000017	1	2000	4000	2000	50	50
S02001438	-130.845	3805.75	S08000017	1	2000	4000	2000	50	50
S02001439	-138.92	3801.02	S08000017	1	2000	4000	2000	50	50
S02001440	-144.823	3797.56	S08000017	1	2000	4000	2000	50	50
S02001441	-141.656	3794.08	S08000017	1	2000	4000	2000	50	50
S02001442	-140.815	3794.66	S08000017	1	2000	4000	2000	50	50
S02001443	-138.952	3793.81	S08000017	1	2000	4000	2000	50	50
S02001444	-133.38	3794.84	S08000017	1	2000	4000	2000	50	50
S02001445	-130.802	3895.6	S08000030	1	2000	4000	2000	50	50
S02001446	-129.812	3895.75	S08000030	1	2000	4000	2000	50	50
S02001447	-130.078	3895.98	S08000030	1	2000	4000	2000	50	50
S02001448	-129.162	3895.85	S08000030	1	2000	4000	2000	50	50
S02001449	-128.699	3896.05	S08000030	1	2000	4000	2000	50	50
S02001450	-129.206	3896.54	S08000030	1	2000	4000	2000	50	50
S02001451	-128.918	3896.87	S08000030	1	2000	4000	2000	50	50
S02001452	-128.499	3896.46	S08000030	1	2000	4000	2000	50	50
S02001453	-128.155	3896.84	S08000030	1	2000	4000	2000	50	50
S02001454	-127.229	3896.43	S08000030	1	2000	4000	2000	50	50
S02001455	-126.592	3897.06	S08000030	1	2000	4000	2000	50	50
S02001456	-125.945	3896.62	S08000030	1	2000	4000	2000	50	50
S02001457	-125.923	3897.05	S08000030	1	2000	4000	2000	50	50
S02001458	-124.938	3896.38	S08000030	1	2000	4000	2000	50	50
S02001459	-124.579	3896.83	S08000030	1	2000	4000	2000	50	50
S02001460	-123.961	3896.7	S08000030	1	2000	4000	2000	50	50
S02001461	-125.128	3897.47	S08000030	1	2000	4000	2000	50	50
S02001462	-127.054	3897.82	S08000030	1	2000	4000	2000	50	50
S02001463	-128.012	3897.9	S08000030	1	2000	4000	2000	50	50
S02001464	-127.505	3897.19	S08000030	1	2000	4000	2000	50	50
S02001465	-129.319	3897.65	S08000030	1	2000	4000	2000	50	50
S02001466	-129.658	3898	S08000030	1	2000	4000	2000	50	50
S02001467	-130.364	3897.94	S08000030	1	2000	4000	2000	50	50
S02001468	-130.111	3897.06	S08000030	1	2000	4000	2000	50	50
S02001469	-129.944	3896.56	S08000030	1	2000	4000	2000	50	50
S02001470	-130.928	3896.24	S08000030	1	2000	4000	2000	50	50
S02001471	-131.953	3896.26	S08000030	1	2000	4000	2000	50	50
S02001472	-131.912	3896.73	S08000030	1	2000	4000	2000	50	50
S02001473	-130.991	3896.73	S08000030	1	2000	4000	2000	50	50
S02001474	-130.898	3897.68	S08000030	1	2000	4000	2000	50	50
S02001475	-132.357	3896.86	S08000030	1	2000	4000	2000	50	50
S02001476	-190.834	3817.4	S08000015	1	2000	4000	2000	50	50
S02001477	-196.993	3821.2	S08000015	1	2000	4000	2000	50	50
S02001478	-189.932	3828.35	S08000015	1	2000	4000	2000	50	50
S02001479	-193.769	3825.01	S08000015	1	2000	4000	2000	50	50
S02001480	-190.206	3830.57	S08000015	1	2000	4000	2000	50	50
S02001481	-182.562	3828.07	S08000015	1	2000	4000	2000	50	50
S02001482	-181.54	3822.15	S08000015	1	2000	4000	2000	50	50
S02001483	-184.716	3825.79	S08000015	1	2000	4000	2000	50	50
S02001484	-185.264	3826.36	S08000015	1	2000	4000	2000	50	50
S02001485	-186.41	3827.56	S08000015	1	2000	4000	2000	50	50
S02001486	-193.357	3841.15	S08000015	1	2000	4000	2000	50	50
S02001487	-195.884	3842.06	S08000015	1	2000	4000	2000	50	50
S02001488	-196.466	3842.03	S08000015	1	2000	4000	2000	50	50
S02001489	-185.995	3837.12	S08000015	1	2000	4000	2000	50	50
S02001490	-187.968	3836.88	S08000015	1	2000	4000	2000	50	50
S02001491	-190.321	3836.35	S08000015	1	2000	4000	2000	50	50
S02001492	-193.57	3836.55	S08000015	1	2000	4000	2000	50	50
S02001493	-195.308	3835.43	S08000015	1	2000	4000	2000	50	50
S02001494	-194.903	3835.79	S08000015	1	2000	4000	2000	50	50
S02001495	-195.213	3836.3	S08000015	1	2000	4000	2000	50	50
S02001496	-194.751	3836.87	S08000015	1	2000	4000	2000	50	50
S02001497	-194.412	3837.28	S08000015	1	2000	4000	2000	50	50
S02001498	-194.334	3837.79	S08000015	1	2000	4000	2000	50	50
S02001499	-194.867	3838.53	S08000015	1	2000	4000	2000	50	50
S02001500	-195.48	3838.26	S08000015	1	2000	4000	2000	50	50
S02001501	-195.394	3837.69	S08000015	1	2000	4000	2000	50	50
S02001502	-195.559	3837.08	S08000015	1	2000	4000	2000	50	50
S02001503	-196.107	3836.59	S08000015	1	2000	4000	2000	50	50
S02001504	-197.211	3837.6	S08000015	1	2000	4000	2000	50	50
S02001505	-196.752	3839.09	S08000015	1	2000	4000	2000	50	50
S02001506	-188.746	3860.1	S08000031	1	2000	4000	2000	50	50
S02001507	-188.062	3860.23	S08000031	1	2000	4000	2000	50	50
S02001508	-187.338	3860.17	S08000031	1	2000	4000	2000	50	50
S02001509	-187.403	3859.76	S08000031	1	2000	4000	2000	50	50
S02001510	-187.681	3858.98	S08000031	1	2000	4000	2000	50	50
S02001511	-188.205	3858.85	S08000031	1	2000	4000	2000	50	50
S02001512	-188.995	3859.17	S08000031	1	2000	4000	2000	50	50
S02001513	-188.796	3858.6	S08000031	1	2000	4000	2000	50	50
S02001514	-188.579	3857.79	S08000031	1	2000	4000	2000	50	50
S02001515	-188.03	3857.59	S08000031	1	2000	4000	2000	50	50
S02001516	-187.656	3858.34	S08000031	1	2000	4000	2000	50	50
S02001517	-187.313	3857.98	S08000031	1	2000	4000	2000	50	50
S02001518	-183.29	3859.72	S08000031	1	2000	4000	2000	50	50
S02001519	-183.521	3858.11	S08000031	1	2000	4000	2000	50	50
S02001520	-183.456	3857.6	S08000031	1	2000	4000	2000	50	50
S02001521	-182.964	3857.15	S08000031	1	2000	4000	2000	50	50
S02001522	-182.472	3857.35	S08000031	1	2000	4000	2000	50	50
S02001523	-182.701	3857.61	S08000031	1	2000	4000	2000	50	50
S02001524	-180.818	3858.87	S08000031	1	2000	4000	2000	50	50
S02001525	-180.126	3858.43	S08000031	1	2000	4000	2000	50	50
S02001526	-180.098	3859.32	S08000031	1	2000	4000	2000	50	50
S02001527	-180.693	3859.84	S08000031	1	2000	4000	2000	50	50
S02001528	-179.846	3859.83	S08000031	1	2000	4000	2000	50	50
S02001529	-179.037	3859.39	S08000031	1	2000	4000	2000	50	50
S02001530	-177.953	3860.63	S08000031	1	2000	4000	2000	50	50
S02001531	-179.46	3860.19	S08000031	1	2000	4000	2000	50	50
S02001532	-180.698	3861.4	S08000031	1	2000	4000	2000	50	50
S02001533	-182.562	3862.28	S08000031	1	2000	4000	2000	50	50
S02001534	-131.328	3859.21	S08000024	1	2000	4000	2000	50	50
S02001535	-132.901	3859.56	S08000024	1	2000	4000	2000	50	50
S02001536	-133.285	3859.91	S08000024	1	2000	4000	2000	50	50
S02001537	-132.61	3860.14	S08000024	1	2000	4000	2000	50	50
S02001538	-132.036	3859.94	S08000024	1	2000	4000	2000	50	50
S02001539	-131.275	3860.04	S08000024	1	2000	4000	2000	50	50
S02001540	-129.64	3861.06	S08000024	1	2000	4000	2000	50	50
S02001541	-129.091	3861.08	S08000024	1	2000	4000	2000	50	50
S02001542	-128.096	3861.96	S08000024	1	2000	4000	2000	50	50
S02001543	-128.366	3860.19	S08000024	1	2000	4000	2000	50	50
S02001544	-128.48	3859.88	S08000024	1	2000	4000	2000	50	50
S02001545	-127.753	3857.94	S08000024	1	2000	4000	2000	50	50
S02001546	-125.426	3862.09	S08000024	1	2000	4000	2000	50	50
S02001547	-122.165	3858.36	S08000024	1	2000	4000	2000	50	50
S02001548	-121.132	3861.05	S08000024	1	2000	4000	2000	50	50
S02001549	-120.653	3860.89	S08000024	1	2000	4000	2000	50	50
S02001550	-121.679	3866.19	S08000024	1	2000	4000	2000	50	50
S02001551	-118.457	3867.99	S08000024	1	2000	4000	2000	50	50
S02001552	-118.185	3867.36	S08000024	1	2000	4000	2000	50	50
S02001553	-112.492	3863.06	S08000024	1	2000	4000	2000	50	50
S02001554	-109.898	3863.86	S08000024	1	2000	4000	2000	50	50
S02001555	-109.161	3863.93	S08000024	1	2000	4000	2000	50	50
S02001556	-193.128	3848.72	S08000031	1	2000	4000	2000	50	50
S02001557	-191.102	3850.74	S08000031	1	2000	4000	2000	50	50
S02001558	-190.679	3850.4	S08000031	1	2000	4000	2000	50	50
S02001559	-191.035	3849.84	S08000031	1	2000	4000	2000	50	50
S02001560	-190.278	3849.82	S08000031	1	2000	4000	2000	50	50
S02001561	-188.374	3849.01	S08000031	1	2000	4000	2000	50	50
S02001562	-188.406	3848.38	S08000031	1	2000	4000	2000	50	50
S02001563	-187.419	3848.79	S08000031	1	2000	4000	2000	50	50
S02001564	-188.286	3847.83	S08000031	1	2000	4000	2000	50	50
S02001565	-185.789	3846.36	S08000031	1	2000	4000	2000	50	50
S02001566	-186.808	3848.48	S08000031	1	2000	4000	2000	50	50
S02001567	-185.309	3848.82	S08000031	1	2000	4000	2000	50	50
S02001568	-185.857	3849.29	S08000031	1	2000	4000	2000	50	50
S02001569	-186.284	3849.55	S08000031	1	2000	4000	2000	50	50
S02001570	-185.45	3849.76	S08000031	1	2000	4000	2000	50	50
S02001571	-185.527	3850.42	S08000031	1	2000	4000	2000	50	50
S02001572	-186.217	3850.62	S08000031	1	2000	4000	2000	50	50
S02001573	-186.69	3849.92	S08000031	1	2000	4000	2000	50	50
S02001574	-186.774	3850.77	S08000031	1	2000	4000	2000	50	50
S02001575	-187.251	3850.36	S08000031	1	2000	4000	2000	50	50
S02001576	-145.274	3855.89	S08000024	1	2000	4000	2000	50	50
S02001577	-144.267	3857.05	S08000024	1	2000	4000	2000	50	50
S02001578	-143.524	3857.04	S08000024	1	2000	4000	2000	50	50
S02001579	-142.737	3857.62	S08000024	1	2000	4000	2000	50	50
S02001580	-141.718	3857.31	S08000024	1	2000	4000	2000	50	50
S02001581	-141.229	3857.82	S08000024	1	2000	4000	2000	50	50
S02001582	-142.382	3857.96	S08000024	1	2000	4000	2000	50	50
S02001583	-142.997	3858.38	S08000024	1	2000	4000	2000	50	50
S02001584	-142.358	3858.39	S08000024	1	2000	4000	2000	50	50
S02001585	-142.482	3858.66	S08000024	1	2000	4000	2000	50	50
S02001586	-142.585	3858.95	S08000024	1	2000	4000	2000	50	50
S02001587	-141.631	3859.34	S08000024	1	2000	4000	2000	50	50
S02001588	-141.652	3858.78	S08000024	1	2000	4000	2000	50	50
S02001589	-140.776	3859.28	S08000024	1	2000	4000	2000	50	50
S02001590	-140.701	3859.64	S08000024	1	2000	4000	2000	50	50
S02001591	-140.197	3859.86	S08000024	1	2000	4000	2000	50	50
S02001592	-140.234	3859.45	S08000024	1	2000	4000	2000	50	50
S02001593	-140.74	3858.61	S08000024	1	2000	4000	2000	50	50
S02001594	-139.767	3858.71	S08000024	1	2000	4000	2000	50	50
S02001595	-139.692	3858.24	S08000024	1	2000	4000	2000	50	50
S02001596	-140.277	3857.82	S08000024	1	2000	4000	2000	50	50
S02001597	-140.04	3857.58	S08000024	1	2000	4000	2000	50	50
S02001598	-139.671	3857.41	S08000024	1	2000	4000	2000	50	50
S02001599	-139.035	3857.35	S08000024	1	2000	4000	2000	50	50
S02001600	-136.58	3857.08	S08000024	1	2000	4000	2000	50	50
S02001601	-137.659	3857.33	S08000024	1	2000	4000	2000	50	50
S02001602	-137.146	3857.25	S08000024	1	2000	4000	2000	50	50
S02001603	-136.445	3857.41	S08000024	1	2000	4000	2000	50	50
S02001604	-136.029	3857.88	S08000024	1	2000	4000	2000	50	50
S02001605	-136.383	3858.07	S08000024	1	2000	4000	2000	50	50
S02001606	-136.851	3857.9	S08000024	1	2000	4000	2000	50	50
S02001607	-137.519	3858.01	S08000024	1	2000	4000	2000	50	50
S02001608	-137.092	3858.44	S08000024	1	2000	4000	2000	50	50
S02001609	-137.888	3858.93	S08000024	1	2000	4000	2000	50	50
S02001610	-137.145	3859.15	S08000024	1	2000	4000	2000	50	50
S02001611	-137.809	3859.7	S08000024	1	2000	4000	2000	50	50
S02001612	-138.52	3859.4	S08000024	1	2000	4000	2000	50	50
S02001613	-138.47	3859.73	S08000024	1	2000	4000	2000	50	50
S02001614	-138.911	3859.65	S08000024	1	2000	4000	2000	50	50
S02001615	-139.289	3859.02	S08000024	1	2000	4000	2000	50	50
S02001616	-139.528	3859.37	S08000024	1	2000	4000	2000	50	50
S02001617	-139.43	3859.75	S08000024	1	2000	4000	2000	50	50
S02001618	-139.928	3859.71	S08000024	1	2000	4000	2000	50	50
S02001619	-139.694	3860.07	S08000024	1	2000	4000	2000	50	50
S02001620	-139.259	3860.27	S08000024	1	2000	4000	2000	50	50
S02001621	-138.488	3860.02	S08000024	1	2000	4000	2000	50	50
S02001622	-138.606	3860.65	S08000024	1	2000	4000	2000	50	50
S02001623	-138.138	3860.38	S08000024	1	2000	4000	2000	50	50
S02001624	-137.639	3860.9	S08000024	1	2000	4000	2000	50	50
S02001625	-137.358	3861.09	S08000024	1	2000	4000	2000	50	50
S02001626	-136.625	3860.52	S08000024	1	2000	4000	2000	50	50
S02001627	-136.086	3859.16	S08000024	1	2000	4000	2000	50	50
S02001628	-135.634	3859.32	S08000024	1	2000	4000	2000	50	50
S02001629	-135.246	3859.96	S08000024	1	2000	4000	2000	50	50
S02001630	-134.661	3859.56	S08000024	1	2000	4000	2000	50	50
S02001631	-134.541	3860.42	S08000024	1	2000	4000	2000	50	50
